NDVI,EVI,RED,SWIR,Area,Biomass
0.53304094,0.351288762,0.076683335,0.15415,250000,48.9649128
0.49082237,0.323319887,0.083916664,0.19325,250000,43.8986844
0.31600374,0.240550854,0.13591667,0.2583,250000,22.9204488
0.5239963,0.398797074,0.0867,0.15348,250000,47.879556
0.54706794,0.388970095,0.08138333,0.17935,250000,50.6481528
0.55801916,0.410978401,0.08146,0.17466,250000,51.9622992
0.4579451,0.387950352,0.111225,0.22265,250000,39.953412
0.52012414,0.424719555,0.09923333,0.19798334,250000,47.4148968
0.40155688,0.324253779,0.10895,0.160275,250000,33.1868256
0.52435255,0.449015546,0.0999,0.21335,250000,47.922306
0.5446809,0.494669553,0.1047,0.22394,250000,50.361708
0.52725023,0.522217098,0.1154,0.242225,250000,48.2700276
0.5133831,0.490740935,0.11948,0.23714,250000,46.605972
0.5372941,0.425297175,0.095183335,0.23678334,250000,49.475292
0.4034167,0.292785836,0.12022,0.2588,250000,33.410004
0.32432342,0.239967508,0.1364,0.27496,250000,23.9188104
0.3230383,0.225620273,0.12196667,0.24601667,250000,23.764596
0.20657803,0.144287692,0.13624,0.26352,250000,9.7893636
0.5086076,0.371068357,0.08638,0.14742,250000,46.032912
-0.27385035,-0.114886927,0.11748333,0.052783333,250000,-47.862042
-0.2885583,-0.121677562,0.11525,0.055633333,250000,-49.626996
-0.28905258,-0.121969264,0.12092,0.0502,250000,-49.6863096
-0.30821484,-0.124183701,0.1154,0.05002,250000,-51.9857808
-0.31111056,-0.119319879,0.111483335,0.05145,250000,-52.3332672
-0.115115285,-0.035334203,0.1144,0.08075,250000,-28.8138342
0.20414735,0.149025449,0.15418333,0.2725,250000,9.497682
0.50475097,0.362940887,0.08965,0.19618334,250000,45.5701164
0.049664807,0.03951312,0.15065,0.2054,250000,-9.04022316
0.5321399,0.399313375,0.087466665,0.18223333,250000,48.856788
0.33822814,0.249973689,0.12636667,0.2438,250000,25.5873768
0.5103964,0.467976264,0.11696,0.23134,250000,46.247568
0.5250565,0.438902269,0.09362,0.1953,250000,48.00678
0.5353827,0.598220102,0.1238,0.242175,250000,49.245924
0.45356777,0.356107968,0.09865,0.187475,250000,39.4281324
0.2874973,0.241816312,0.15761666,0.28905,250000,19.499676
0.29080585,0.221989788,0.1408,0.26668,250000,19.896702
0.44450387,0.352307005,0.114483334,0.27081665,250000,38.3404644
0.52463627,0.42247444,0.0947,0.20405,250000,47.9563524
0.416013,0.390213803,0.13996667,0.2391,250000,34.92156
0.47858605,0.343195287,0.10158,0.24736,250000,42.430326
0.29626644,0.223877763,0.142,0.258275,250000,20.5519728
0.3047919,0.226491554,0.1309,0.29225,250000,21.575028
0.18325849,0.132749527,0.1531,0.26641667,250000,6.9910188
0.10083613,0.076097771,0.15223333,0.2442,250000,-2.8996644
0.27990502,0.183207503,0.11394,0.22222,250000,18.5886024
-0.074650854,-0.032596161,0.09125,0.051616665,250000,-23.95810248
-0.32610786,-0.119775916,0.104725,0.043358333,250000,-54.1329432
-0.318314,-0.119431653,0.105625,0.043566667,250000,-53.19768
-0.3109896,-0.121318702,0.10786667,0.044025,250000,-52.318752
-0.28826904,-0.119160329,0.1143,0.0503,250000,-49.5922848
-0.27507606,-0.11837988,0.11473334,0.048666667,250000,-48.0091272
-0.26097602,-0.107744469,0.110866666,0.049433332,250000,-46.3171224
-0.2846296,-0.115289021,0.10985,0.045133334,250000,-49.155552
-0.049716808,-0.022737371,0.111933336,0.08455,250000,-20.96601696
0.29773962,0.207741194,0.12915,0.25986665,250000,20.7287544
0.43099022,0.287273591,0.1086,0.2335,250000,36.7188264
0.17882909,0.114800835,0.14976667,0.27053332,250000,6.4594908
0.2587092,0.180491372,0.14385,0.3115,250000,16.045104
0.39906195,0.285030398,0.108383335,0.25808334,250000,32.887434
0.4974166,0.47362903,0.112900004,0.20815,250000,44.689992
0.5460127,0.543455471,0.12106667,0.23613334,250000,50.521524
0.44920215,0.28969597,0.09232,0.17702,250000,38.904258
0.41085175,0.339336272,0.114575,0.21495,250000,34.30221
0.3915091,0.288831841,0.114025,0.194575,250000,31.981092
0.26138636,0.187484288,0.15404001,0.30962,250000,16.3663632
0.1980135,0.143975481,0.1504,0.24094,250000,8.76162
0.4296288,0.315877111,0.10858333,0.21915,250000,36.555456
0.5100521,0.460169759,0.10126,0.20792,250000,46.206252
0.44824055,0.401404035,0.12642,0.24384,250000,38.788866
0.29784328,0.20592936,0.13251999,0.28746,250000,20.7411936
0.13369995,0.103553822,0.17365,0.27748334,250000,1.043994
0.1594521,0.128115432,0.18995,0.3076,250000,4.134252
